,id_orig,year_orig,year,author_orig,author,title_orig,title,genre,source,title_short
289,SC0331,1809,1810,"Porter, Jane","Porter, Jane",Thaddeus of Warsaw,"The Scottish Chiefs, A Romance. In Five Volumes. By Miss Jane Porter, Author of Thaddeus of Warsaw, and Remarks on Sidney's Aphorisms.",Historical,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.|Stevens, Anne H. British Historical Fiction Before Scott. Houndmills: Palgrave Macmillan, 2010.",The Scottish Chiefs
290,SC0332,1809,1809,Richard Sickelmore,Richard Sickelmore,Osrick or Modern horrors,"Osrick; or, Modern horrors",Gothic,Literary Lab Corpus I,Osrick
291,SC0335,1810,1810,Anonymous,Anonymous,The adulteress or anecdotes of two noble families a tale,"The adulteress ; or, anecdotes of two noble families : a tale",,,The adulteress
292,SC0336,1810,1810,"Benson, Maria","Benson, Maria",The wife A novel In three volumes,The wife. A novel: In three volumes,,,The wife
293,SC0337,1810,1811,"Brunton, Mary","Brunton, Mary",Self Control A Novel Second Edition,Self-Control: A Novel. Second Edition.,Courtship | Evangelical,"Green, Katherine Sobba. ÒChronology of Courtship Novels.Ó The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164. | Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ÒQuantitative Formalism: an Experiment.Ó Stanford: Stanford Literary Lab, 2011. Print.",Self-Control
294,SC0338,1810,1810,Cuthbertson Catherine,Cuthbertson Catherine,Forest of Montalbano a novel,Forest of Montalbano : a novel,Gothic,Literary Lab Corpus I,Forest of Montalbano
295,SC0340,1810,1810,English John psued,English John psued,The grey friar and the black spirit of the Wye a romance,"The grey friar, and the black spirit of the Wye: a romance ..",Gothic,Literary Lab Corpus I,"The grey friar, and the black spirit of the Wye"
296,SC0341,1810,1810,Hamilton Ann,"Hamilton, Ann",The Irishwoman in London a modern novel in three volumes,"The Irishwoman in London : a modern novel, in three volumes",,,The Irishwoman in London
297,SC0342,1810,1810,"Matilda, Anna","Matilda, Anna",The Italian marauders a romance,"The Italian marauders, a romance",Gothic,Literary Lab Corpus I,The Italian marauders
298,SC0344,1810,1810,"Norris, Mrs.","Norris, Mrs.",Euphronia or The captive a romance,"Euphronia, or The captive : a romance ..",,,Euphronia
299,SC0345,1810,1810,"Palmer, Alicia Tindal",Palmer Alicia Tindal,The daughters of Isenberg a Bavarian romance,The daughters of Isenberg: a Bavarian romance,,,The daughters of Isenberg
300,SC0346,1810,1809,"Porter, Jane","Porter, Jane",The Scottish Chiefs A Romance In Five Volumes By Miss Jane Porter Author of Thaddeus of Warsaw and Remarks on Sidney s Aphorisms,Thaddeus of Warsaw.,Historical,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.",Thaddeus of Warsaw
301,SC0347,1810,1810,Roche John Hamilton,Roche John Hamilton,A Suffolk tale or The perfidious guardian,"A Suffolk tale; or, The perfidious guardian. ..",Gothic,Literary Lab Corpus I,A Suffolk tale
302,SC0348,1810,1810,Saint Hilaire Bridget,Saint Hilaire Bridget,The priory of Saint Mary a romance founded on days of old in 4 vol,The priory of Saint Mary : a romance founded on days of old ; in 4 vol.,Gothic|Historical,Literary Lab Corpus I Schöwerling,The priory of Saint Mary
303,SC0349,1810,1810,"Scott, Honoria","Scott, Honoria",Amatory tales of Spain France Switzerland and the Mediterranean containing The fair Andalusian Rosolia of Palermo and The Maltese portrait interspersed with pieces of original poetry,"Amatory tales of Spain, France, Switzerland, and the Mediterranean: containing The fair Andalusian; Rosolia of Palermo; and The Maltese portrait: interspersed with pieces of original poetry",,,"Amatory tales of Spain, France, Switzerland, and the Mediterranean"
304,SC0350,1810,1810,"Shelley, Percy Bysshe","Shelley, Percy Bysshe",Zastrozzi A Romance By P B S,"Zastrozzi, A Romance. By P. B. S.",Gothic,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.|Literary Lab Corpus I",Zastrozzi
305,SC0353,1810,1810,Walsh Miss,Walsh Miss,The officer s daughter or A visit to Ireland in 1790,"The officer's daughter; or, A visit to Ireland in 1790.",,,The officer's daughter
306,SC0354,1811,1963,"Ashe, Thomas","Pynchon, Thomas",The spirit of The book or Memoirs of Caroline Princess of Hasburgh a political and amatory romance In three volumes,V.,,,V
308,SC0356,1811,1811,"Austen, Jane","Austen, Jane",Sense and Sensibility A Novel In Three Volumes By a Lady,Sense and Sensibility. A Novel. In Three Volumes. By a Lady.,Courtship,"Green, Katherine Sobba. ÒChronology of Courtship Novels.Ó The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164.",Sense and Sensibility
309,SC0357,1811,1811,"Brewer, James Norris","Brewer, James Norris",An old family legend or One husband and two marriages a romance,"An old family legend, or, One husband and two marriages : a romance",Gothic|Historical,"Literary Lab Corpus I|Stevens, Anne H. British Historical Fiction Before Scott. Houndmills: Palgrave Macmillan, 2010.",An old family legend
310,SC0358,1811,1811,C Madame de,C Madame de,A winter in Paris or Memoirs of Madame de C,"A winter in Paris; or, Memoirs of Madame de C****:",,,A winter in Paris
311,SC0359,1811,1811,"Card, Henry","Card, Henry",Beauford or A picture of high life,"Beauford, or, A picture of high life",,,Beauford
312,SC0360,1811,1811,"Disraeli, Isaac","Disraeli, Isaac",Despotism or The fall of the Jesuits A political romance illustrated by historical anecdotes,"Despotism: or, The fall of the Jesuits. A political romance, illustrated by historical anecdotes",Historical,Schöwerling,Despotism
313,SC0361,1811,1811,Goulburn Edward 1787 1868,"Goulburn, Edward",Frederick de Montford a novel,Frederick de Montford: a novel,,,Frederick de Montford
314,SC0362,1811,1811,Holstein Anthony Frederick psued,"Holstein, Anthony Frederick psued",The inhabitants of Earth or The follies of woman a novel,"The inhabitants of Earth, or, The follies of woman : a novel",,,The inhabitants of Earth
315,SC0363,1811,1811,Lady,Lady,Julia de Vienne a novel imitated from the French,"Julia de Vienne : a novel, imitated from the French",,,Julia de Vienne
316,SC0364,1811,1811,"Moriarty, Henrietta Maria","Moriarty, Henrietta Maria","Brighton in an Uproar; Comprising Anecdotes a Novel, Founded on Facts","Brighton in an uproar; comprising anecdotes ... A novel, founded on facts",,,Brighton in an uproar
317,SC0365,1811,1811,Palmer Alicia Tindal fl 1810,Palmer Alicia Tindal,The sons of Altringham a novel,The sons of Altringham; a novel,,,The sons of Altringham
318,SC0366,1811,1811,Palmer John 1742 1798,Palmer John,Like master like man a novel,Like master like man: a novel ..,,,Like master like man
319,SC0367,1811,1811,Parker Emma fl 1811 1816,"Parker, Emma",Virginia or The peace of Amiens A novel,"Virginia; or, The peace of Amiens. A novel ..",,,Virginia
320,SC0368,1811,1811,Reeve Clara 1729 1807,"Reeve, Clara",Fatherless Fanny or The memoirs of a little mendicant and her benefactors a modern novel in four volumes,"Fatherless Fanny; or, The memoirs of a little mendicant and her benefactors. : a modern novel, in four volumes",,,Fatherless Fanny
321,SC0369,1811,1811,Rhodes Henrietta,Rhodes Henrietta,Rosalie or the castle of Montalabretti,Rosalie : or the castle of Montalabretti,Gothic|Historical,Literary Lab Corpus I Schöwerling,Rosalie
322,SC0370,1811,1811,S Mrs,S Mrs,Gotha or Memoirs of the Wurtzburg family founded on facts,"Gotha, or Memoirs of the Wurtzburg family, founded on facts.",Historical,Schöwerling,Gotha
323,SC0371,1811,1811,"Shelley, Percy Bysshe","Shelley, Percy Bysshe",St Irvyne or The Rosicrucian A Romance By A Gentleman Of The University Of Oxford,"St. Irvyne; or, The Rosicrucian: A Romance. By A Gentleman Of The University Of Oxford.",Historical,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.",St Irvyne
324,SC0376,1812,1812,"Ashe, Thomas","Ashe, Thomas",The liberal critic or Memoirs of Henry Percy Conveying a correct estimate of the manners and principles of the present times,"The liberal critic; or, Memoirs of Henry Percy. Conveying a correct estimate of the manners and principles of the present times ..",,,The liberal critic
325,SC0377,1812,1812,"Burney, Sarah Harriet","Burney, Sarah Harriet",Traits of nature,Traits of nature,,,Traits of nature
327,SC0379,1812,1812,"Byron, Medora Gordon","Byron, Medora Gordon",The Englishwoman A novel,The Englishwoman. A novel,,,The Englishwoman
328,SC0380,1812,1812,"Hawkins, Laetitia Matilda","Hawkins, Laetitia Matilda",The countess and Gertrude or Modes of discipline,"The countess and Gertrude; or, Modes of discipline",,,The countess and Gertrude
329,SC0381,1812,1812,Hofland Mrs Barbara 1770 1844,"Hofland, Mrs. Barbara",Says she to her neighbour What,"Says she to her neighbour, What? ..",,,"Says she to her neighbour, What?"
330,SC0382,1812,1812,Lewis Alethea 1749 1827,Lewis Alethea,Things by their right names a novel,Things by their right names : a novel,,,Things by their right names
331,SC0383,1812,1812,"Moriarty, Henrietta Maria","Moriarty, Henrietta Maria",Crim. con a novel founded on facts,"Crim. con. : a novel, founded on facts",,,Crim
332,SC0384,1812,1812,Nares Edward 1762 1841,Nares Edward,I says says I a novel,"I says, says I; a novel",,,"I says, says I"
333,SC0385,1812,1812,Opie Amelia,"Opie, Amelia Alderson",Temper or Domestic scenes a tale in three volumes,"Temper ; or, Domestic scenes : a tale in three volumes",,,Temper
334,SC0386,1812,1812,Stanhope Louisa Sidney,"Stanhope, Louisa Sidney",The confessional of Valombre A romance,The confessional of Valombre. A romance ..,Gothic,Literary Lab Corpus I,The confessional of Valombre
335,SC0389,1812,1812,Watson Miss,Watson Miss,Rosamund countess of Clarenstein,"Rosamund, countess of Clarenstein ..",,,"Rosamund, countess of Clarenstein"
336,SC0390,1812,1812,West Mrs Jane 1758 1852,"West, Mrs. Jane",The loyalists an historical novel,The loyalists: an historical novel,Historical,"title inference|Stevens, Anne H. British Historical Fiction Before Scott. Houndmills: Palgrave Macmillan, 2010.",The loyalists
337,SC0391,1813,1813,"Austen, Jane","Austen, Jane",Pride and Prejudice A Novel In Three Volumes By the Author of Sense And Sensibility,"Pride and Prejudice: A Novel. In Three Volumes. By the Author of ""Sense And Sensibility.""",Courtship,"Green, Katherine Sobba. ÒChronology of Courtship Novels.Ó The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164.",Pride and Prejudice
338,SC0392,1813,1813,Cuthbertson Catherine,Cuthbertson Catherine,Adelaide or The countercharm A novel,"Adelaide: or, The countercharm. A novel ..",,,Adelaide
339,SC0393,1813,1813,Davenport Selina,Davenport Selina,The sons of the viscount and the daughters of the earl A novel depicting recent scenes in fashionable life,"The sons of the viscount and the daughters of the earl. A novel, depicting recent scenes in fashionable life",,,The sons of the viscount and the daughters of the earl
340,SC0394,1813,1813,"Hill, Mary","Hill, Mary","Anselmo; Or, the Day of Trial. a Romance. in Four Volumes.","Anselmo; or, The day of trial. A romance. In four volumes.",,,Anselmo
341,SC0395,1813,1813,Kelly Isabella fl 1795 1813,Kelly Isabella,Jane de Dunstanville or Characters as they are a novel,"Jane de Dunstanville, or, Characters as they are : a novel",,,Jane de Dunstanville
342,SC0396,1813,1813,Opie Amelia Alderson 1769 1853,"Opie, Amelia Alderson",Tales of real life,Tales of real life,,,Tales of real life
343,SC0397,1813,1813,"Parker, Emma","Parker, Emma",Aretas a novel in 4 vol.,Aretas : a novel ; in 4 vol.,,,Aretas
344,SC0398,1813,1813,Plumptre Anne 1760 1818,Plumptre Anne,The history of myself and my friend a novel,The history of myself and my friend; a novel,,,The history of myself and my friend
345,SC0399,1813,1813,"Scott, Honoria","Scott, Honoria","The castle of Strathmay; or, Scenes in the north, illustrative of Scottish manners and society, a tale","The castle of Strathmay; or, Scenes in the North: illustrative of Scottish manners and society, a tale ..",,,The castle of Strathmay
346,SC0400,1813,1813,Smith Julia Bernard,Smith Julia Bernard,The old school,The old school ..,,,The old school
347,SC0402,1813,1813,William Henry Hitchener,William Henry Hitchener,The towers of Ravenswold or Days of Ironside,"The towers of Ravenswold; or, Days of Ironside",Historical,Schöwerling,The towers of Ravenswold
349,SC0404,1814,1814,"Austen, Jane","Austen, Jane",Mansfield Park A Novel In Three Volumes,Mansfield Park: A Novel. In Three Volumes.,Courtship,"Green, Katherine Sobba. ""Chronology of Courtship Novels."" The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164.",Mansfield Park
350,SC0405,1814,1813,"Barrett, Eaton Stannard","Barrett, Eaton Stannard",The Heroine Or Adventures Of Cherubina Second Edition with considerable additions and alterations In Three Volumes,"The Heroine, Or Adventures Of Cherubina ... Second Edition, with considerable additions and alterations. In Three Volumes.",Courtship,"Green, Katherine Sobba. ""Chronology of Courtship Novels."" The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164.","The Heroine, Or Adventures Of Cherubina"
351,SC0406,1814,1814,"Brunton, Mary","Brunton, Mary",Discipline a novel by the author of Self control,"Discipline; a novel by the author of ""Self-control"".",Courtship | Evangelical,"Green, Katherine Sobba. ""Chronology of Courtship Novels."" The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164. | Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.",Discipline
353,SC0408,1814,1814,"Burney, Fanny","Burney, Fanny",The Wanderer or Female Difficulties By the Author of Evelina Cecilia and Camilla In Five Volumes,"The Wanderer; or, Female Difficulties. By the Author of Evelina; Cecilia; and Camilla. In Five Volumes.",,,The Wanderer
354,SC0409,1814,1814,Cuthbertson Catherine,Cuthbertson Catherine,Santo Sebastiano or The young protector a novel,"Santo Sebastiano, or, The young protector : a novel",Gothic,Literary Lab Corpus I,Santo Sebastiano
355,SC0410,1814,1814,Davenport Selina fl 1814 1834,Davenport Selina,The hypocrite or The modern Janus A novel,"The hypocrite; or, The modern Janus. A novel ..",,,The hypocrite
356,SC0411,1814,1814,"Gillies, Robert Pearse","Gillies, Robert Pearse",The confessions of Sir Henry Longueville A novel,The confessions of Sir Henry Longueville. A novel,,,The confessions of Sir Henry Longueville
357,SC0412,1814,1814,"Murray, Hugh","Murray, Hugh",Corasmin or The minister a romance,"Corasmin; or, The minister; a romance ..",,,Corasmin
358,SC0413,1814,1814,Pinchard Mrs,Pinchard Mrs,Mystery and confidence a tale,Mystery and confidence: a tale,,,Mystery and confidence
359,SC0414,1814,1814,Porter Anna Maria 1780 1832,"Porter, Anna Maria",The recluse of Norway,The recluse of Norway,,,The recluse of Norway
360,SC0415,1814,1814,"Roberts, Mrs. Margaret Wade","Roberts, Mrs. Margaret Wade",Duty a novel,"Duty, a novel",,,Duty
362,SC0661,1828,1814,Scott Walter Sir 1771 1832,"Scott, Walter",Waverley or Tis sixty years since,"Waverley; or, 'Tis Sixty Years Since [in, the Waverley Novels]",Historical,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print. | Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.",Waverley
363,SC0417,1814,1814,Ward Catherine G Catherine George b 1787,Ward Catherine George,The son and the nephew or more secrets than one a novel,"The son and the nephew : or, more secrets than one : a novel",,,The son and the nephew
364,SC0418,1814,1814,"West, Mrs. Jane","West, Mrs. Jane",Alicia de Lacy; an historical romance,Alicia de Lacy; an historical romance,Historical,title inference,Alicia de Lacy
365,SC0419,1815,1815,"Algernon, pseud","Algernon, pseud",The royal wanderer or The exile of England a tale,"The royal wanderer, or, The exile of England : a tale",,,The royal wanderer
366,SC0420,1815,1815,Anonymous,Anonymous,The curse of Ulrica or The white cross knights of Riddarholmen A Swedish romance of the sixteenth century,The curse of Ulrica; or The white cross knights of Riddarholmen : A Swedish romance of the sixteenth century ..,Gothic,Literary Lab Corpus I,The curse of Ulrica
367,SC0421,1815,1815,Author of Sketches of character,Author of Sketches of character,Varieties of life or Conduct and consequences A novel,"Varieties of life; or, Conduct and consequences. A novel",,,Varieties of life
368,SC0422,1815,1815,"Cottin, Madame (Sophie)","Cottin, Madame (Sophie)",Elizabeth or The exiles of Siberia a tale founded upon facts Tranlated from the French of Madame Cottin,"Elizabeth; or, The exiles of Siberia; a tale founded upon facts. Tranlated from the French of Madame Cottin.",,,Elizabeth
369,SC0423,1815,1815,Hofland Mrs Barbara 1770 1844,"Hofland, Mrs. Barbara",A father as he should be A novel,A father as he should be : A novel ..,,,A father as he should be
370,SC0424,1815,1815,"Johnstone, Christian Isobel","Johnstone, Christian Isobel",Clan Albin a national tale,Clan-Albin: a national tale ..,National,"Trumpener, Katie. ""National Tale."" Encyclopedia of the Novel. Eds. Paul Schellinger, Christopher Hudson, and Marijke Rijsberman. Chicago: Fitzroy Dearborn Publishers, 1998.",Clan-Albin
371,SC0425,1815,1815,Parker Emma fl 1811 1816,"Parker, Emma",The guerrilla chief a novel,The guerrilla chief: a novel ..,,,The guerrilla chief
372,SC0426,1815,1815,Peck Frances Mrs,Peck Frances Mrs,Vaga or A view of nature A novel,"Vaga; or, A view of nature. A novel ..",,,Vaga
373,SC0427,1815,1815,Prickett Miss,Prickett Miss,Warwick Castle an historical novel,Warwick Castle : an historical novel,Historical,title inference,Warwick Castle
374,SC0428,1815,1815,"Scott, Walter, Sir","Scott, Walter",Guy Mannering Or The Astrologer in the Waverley Novels,"Guy Mannering; Or, The Astrologer [in, the Waverley Novels]",Historical,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print. | Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.",Guy Mannering
375,SC0429,1815,1815,"Scott, Walter, Sir","Scott, Walter",The Antiquary in the Waverley Novels,"The Antiquary [in, the Waverley Novels]",Historical,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print. | Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.",The Antiquary
376,SC0430,1815,1815,The Mystic cottager Author of,The Mystic cottager Author of,The Observant pedestrian mounted or A donkey tour to Brighton a comic sentimental novel,"The Observant pedestrian mounted; or A donkey tour to Brighton, a comic sentimental novel",,,The Observant pedestrian mounted
377,SC0432,1815,1815,Williams William 1727 1791,Williams William,The journal of Llewellin Penrose a seaman,"The journal of Llewellin Penrose, a seaman",,,The journal of Llewellin Penrose
378,SC0433,1816,1816,"Appleton, Miss","Appleton, Miss",Edgar a national tale,Edgar : a national tale,Historical|National,"Trumpener, Katie. ""National Tale."" Encyclopedia of the Novel. Eds. Paul Schellinger, Christopher Hudson, and Marijke Rijsberman. Chicago: Fitzroy Dearborn Publishers, 1998. | Schöwerling",Edgar
380,SC0435,1816,1816,"Austen, Jane","Austen, Jane",Emma A Novel In Three Volumes By the Author of Pride And Prejudice c c,"Emma: A Novel. In Three Volumes. By the Author of ""Pride And Prejudice,"" &c. &c.",Courtship | Bildungsroman,"Green, Katherine Sobba. ""Chronology of Courtship Novels."" The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164. | Lowe, Brigid. ""The Bildungsroman."" The Cambridge History of the English Novel. Eds. Robert L. Caserio and Clement Hawes. Cambridge University Press, 2011. Cambridge Histories Online. Cambridge University Press. 14 August 2012 DOI:10.1017/CHOL9780521194952.027",Emma
381,SC0437,1816,1816,Harvey Jane of Newcastle,Harvey Jane of Newcastle,Brougham Castle a novel in two volumes,Brougham Castle : a novel : in two volumes,Gothic,Literary Lab Corpus I,Brougham Castle
382,SC0438,1816,1816,Lamb Caroline Lady 1785 1828,"Lamb, Lady Caroline",Glenarvon,Glenarvon,Silver Fork,"Adburgham, Alison. ""Bibliographies, Silver Fork Novels"". Silver Fork Society : Fashionable Life and Literature From 1814 to 1840. London: Constable, 1983. 320-332.|Literary Lab Corpus I",Glenarvon
383,SC0439,1816,1816,Lewis Alethea 1749 1827,Lewis Alethea,Rhoda a novel,Rhoda : a novel,,,Rhoda
384,SC0440,1816,1816,Observant pedestrian Author of,Observant pedestrian Author of,Uncle Tweazy and his quizzical neighbours a comi satiric novel,Uncle Tweazy and his quizzical neighbours: a comi-satiric novel ..,,,Uncle Tweazy and his quizzical neighbours
385,SC0441,1816,1816,Opie Amelia Alderson 1769 1853,"Opie, Amelia Alderson",Valentine s eve,Valentine's eve,,,Valentine's eve
386,SC0442,1816,1816,"Scott, Walter, Sir","Scott, Walter",Old Mortality in the Waverley Novels,"Old Mortality [in, the Waverley Novels]",Historical,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print. | Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.",Old Mortality
387,SC0443,1816,1816,"Scott, Walter, Sir","Scott, Walter",The Black Dwarf in the Waverley Novels,"The Black Dwarf [in, the Waverley Novels]",Historical,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print. | Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.",The Black Dwarf
388,SC0444,1816,1816,"Thomas, Elizabeth, of Tidenham","Thomas, Elizabeth, of Tidenham",Purity of heart or The ancient costume a tale in one volume addressed to the author of Glenarvon By an old wife of twenty years,"Purity of heart, or, The ancient costume, a tale, in one volume, addressed to the author of Glenarvon. By an old wife of twenty years ...",,,Purity of heart
389,SC0446,1817,1817,Anonymous,Anonymous,"Alexena or, The castle of Santa Marco, a romance ... Embellished with engravings","Alexena; or, The castle of Santa Marco, a romance ... Embellished with engravings ..",Gothic,Literary Lab Corpus I,Alexena
390,SC0447,1817,1817,Anonymous,Anonymous,The actress of the present day,The actress of the present day ..,,,The actress of the present day
391,SC0448,1817,1817,"Austen, Jane","Austen, Jane",Sanditon in The Works of Jane Austen Volume VI Minor Works,"Sanditon [in, The Works of Jane Austen; Volume VI; Minor Works]",,,Sanditon
392,SC0449,1817,1817,"Godwin, William","Godwin, William",Mandeville a tale of the seventeenth century,Mandeville : a tale of the seventeenth century,,,Mandeville
393,SC0450,1817,1817,Holcroft Fanny d 1844,"Holcroft, Fanny",Fortitude and frailty a novel Inscribed to the revered memory of her lamented father,Fortitude and frailty; a novel ... Inscribed to the revered memory of her lamented father,,,Fortitude and frailty
394,SC0451,1817,1817,Jones James Athearn 1791 1854 supposed author,"Jones, James Athearn",Hardenbrass and Haverill or The secret of the castle a novel Containing A madman and no madman Who walks Deeds of darkness c remarkable characters incidents adventures c c instructive and entertaining,"Hardenbrass and Haverill; or, The secret of the castle, a novel. Containing A madman and no madman--Who walks--Deeds of darkness, &c. --remarkable characters, incidents, adventures, &c. &c. instructive and entertaining",,,Hardenbrass and Haverill
395,SC0452,1817,1817,Mant Alicia Catherine d 1869,Mant Alicia Catherine,Montague Newburgh or The mother and son In two volumes,"Montague Newburgh; or, The mother and son. : In two volumes.",,,Montague Newburgh
396,SC0453,1817,1817,Porter Anna Maria 1780 1832,"Porter, Anna Maria",The knight of St John a romance,"The knight of St. John, a romance",,,The knight of St John
397,SC0454,1817,1817,Porter Jane 1776 1850,"Porter, Jane",The pastor s fire side a novel,The pastor's fire-side : a novel,,,The pastor's fire-side
398,SC0455,1817,1817,Ryley S W Samuel William 1759 1837,Ryley Samuel William,The Itinerant or memoirs of an actor,"The Itinerant; or, memoirs of an actor ..",,,The Itinerant
400,SC0471,1818,1817,Scott Walter Sir 1771 1832,"Scott, Walter",Rob Roy,"Rob Roy [in, the Waverley Novels]",Historical,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print. | Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.",Rob Roy
401,SC0457,1817,1817,St George Catherine,St George Catherine,Maria a domestic tale,"Maria, a domestic tale ..",,,Maria
402,SC0459,1818,1818,"Austen, Jane","Austen, Jane",Northanger Abbey and Persuasion,Persuasion,Courtship,"Green, Katherine Sobba. ""Chronology of Courtship Novels."" The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164.",Persuasion
403,SC0461,1818,1818,"Austen, Jane","Austen, Jane",Persuasion By the Author of Pride and Prejudice with a Biographical Notice of the Author In Four Volumes,Persuasion,Courtship,"Green, Katherine Sobba. ""Chronology of Courtship Novels."" The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164.",Persuasion
404,SC0460,1818,1818,"Austen, Jane","Austen, Jane",Northanger Abbey By the Author of Pride and Prejudice With a Biographical Notice of the Author In Four Volumes,Northanger Abbey,Courtship,"Green, Katherine Sobba. ""Chronology of Courtship Novels."" The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164.",Northanger Abbey
405,SC0462,1818,1818,"Brown, Thomas (the elder pseud)","Brown, Thomas (the elder pseud)",Bath a satirical novel with portraits,"Bath; a satirical novel, with portraits",,,Bath
406,SC0463,1818,1818,"Brown, Thomas (the elder pseud)","Brown, Thomas (the elder pseud)","Brighton; Or, the Steyne. a Satirical Nove","Brighton; or, The Steyne. A satirical novel",,,Brighton
408,SC2216,1881,1818,Ferrier Susan 1782 1854,"Ferrier, Susan",Marriage a novel,Marriage. A Novel. In Three Volumes.,Courtship | National,"Green, Katherine Sobba. ""Chronology of Courtship Novels."" The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164. | Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print. | Trumpener, Katie. ""National Tale."" Encyclopedia of the Novel. Eds. Paul Schellinger, Christopher Hudson, and Marijke Rijsberman. Chicago: Fitzroy Dearborn Publishers, 1998.",Marriage
409,SC0466,1818,1818,Hatton Ann Julia Kemble,"Hatton, Ann Julia Kemble",Secrets in every mansion or The surgeon s memorandum book a Scottish record,"Secrets in every mansion, or, The surgeon's memorandum-book : a Scottish record",,,Secrets in every mansion
410,SC0467,1818,1818,"Hogg, James","Hogg, James",The Brownie of Bodsbeck: And Other Tales,"The brownie of Bodsbeck, and other tales",,,"The brownie of Bodsbeck, and other tales"
411,SC0468,1818,1818,Opie Amelia Alderson 1769 1853,"Opie, Amelia Alderson",New tales in four volumes,New tales : in four volumes,,,New tales
412,SC0469,1818,1818,"Peacock, Thomas Love","Peacock, Thomas Love",Nightmare Abbey By The Author Of Headlong Hall,Nightmare Abbey: By The Author Of Headlong Hall.,,,Nightmare Abbey
413,SC0470,1818,1818,Plumptre Anne 1760 1818,Plumptre Anne,Tales of wonder of humour and of sentiment original and translated,"Tales of wonder, of humour, and of sentiment; original and translated",,,"Tales of wonder, of humour, and of sentiment"
